a,b,vac_1,vac_2,inf_1,inf_2,cli_burden,inf_burden,adv_burden,total_vacc,total_vacc_perc
0.0,0.0,0.08,1.0,0.505276051226616,0.11971138873229639,7798.920506948335,7609.703306948335,189.2172,956600.0,19.132
0.0,0.05,0.08,1.0,0.505276051226616,0.11971138873229639,7798.920506948335,7609.703306948335,189.2172,956600.0,19.132
0.0,0.1,0.09,0.98,0.4966369585742894,0.12077657394311334,7871.54588184192,7668.67718184192,202.8687,988450.0,19.769
0.0,0.15000000000000002,0.09,0.98,0.4966369585742894,0.12077657394311334,7871.54588184192,7668.67718184192,202.8687,988450.0,19.769
0.0,0.2,0.09,0.98,0.4966369585742894,0.12077657394311334,7871.54588184192,7668.67718184192,202.8687,988450.0,19.769
0.0,0.25,0.09,0.98,0.4966369585742894,0.12077657394311334,7871.54588184192,7668.67718184192,202.8687,988450.0,19.769
0.0,0.30000000000000004,0.16,0.49,0.4376453648468601,0.1727696784272772,11546.353723190148,11272.064023190149,274.28970000000004,999650.0,19.993
0.0,0.35000000000000003,0.16,0.49,0.4376453648468601,0.1727696784272772,11546.353723190148,11272.064023190149,274.28970000000004,999650.0,19.993
0.0,0.4,0.16,0.49,0.4376453648468601,0.1727696784272772,11546.353723190148,11272.064023190149,274.28970000000004,999650.0,19.993
0.0,0.45,0.16,0.48,0.4378572927140363,0.17423043503450303,11648.763738577329,11375.163738577328,273.6,993600.0,19.872
0.0,0.5,0.16,0.48,0.4378572927140363,0.17423043503450303,11648.763738577329,11375.163738577328,273.6,993600.0,19.872
0.0,0.55,0.16,0.48,0.4378572927140363,0.17423043503450303,11648.763738577329,11375.163738577328,273.6,993600.0,19.872
0.0,0.6000000000000001,0.16,0.48,0.4378572927140363,0.17423043503450303,11648.763738577329,11375.163738577328,273.6,993600.0,19.872
0.0,0.65,0.16,0.48,0.4378572927140363,0.17423043503450303,11648.763738577329,11375.163738577328,273.6,993600.0,19.872
0.0,0.7000000000000001,0.16,0.48,0.4378572927140363,0.17423043503450303,11648.763738577329,11375.163738577328,273.6,993600.0,19.872
0.0,0.75,0.16,0.48,0.4378572927140363,0.17423043503450303,11648.763738577329,11375.163738577328,273.6,993600.0,19.872
0.0,0.8,0.16,0.48,0.4378572927140363,0.17423043503450303,11648.763738577329,11375.163738577328,273.6,993600.0,19.872
0.0,0.8500000000000001,0.16,0.48,0.4378572927140363,0.17423043503450303,11648.763738577329,11375.163738577328,273.6,993600.0,19.872
0.0,0.9,0.16,0.48,0.4378572927140363,0.17423043503450303,11648.763738577329,11375.163738577328,273.6,993600.0,19.872
0.0,0.9500000000000001,0.16,0.48,0.4378572927140363,0.17423043503450303,11648.763738577329,11375.163738577328,273.6,993600.0,19.872
