a,b,vac_1,vac_2,inf_1,inf_2,cli_burden,inf_burden,adv_burden,total_vacc,total_vacc_perc
0.0,0.0,0.08,1.0,0.9144985583202697,0.33596589594999465,16093.506354386198,15904.289154386199,189.2172,956600.0,19.132
0.0,0.05,0.08,1.0,0.9144985583202697,0.33596589594999465,16093.506354386198,15904.289154386199,189.2172,956600.0,19.132
0.0,0.1,0.08,1.0,0.9144985583202697,0.33596589594999465,16093.506354386198,15904.289154386199,189.2172,956600.0,19.132
0.0,0.15000000000000002,0.08,1.0,0.9144985583202697,0.33596589594999465,16093.506354386198,15904.289154386199,189.2172,956600.0,19.132
0.0,0.2,0.08,1.0,0.9144985583202697,0.33596589594999465,16093.506354386198,15904.289154386199,189.2172,956600.0,19.132
0.0,0.25,0.09,0.98,0.9086349720868879,0.34298619416439385,16566.13064184059,16363.261941840592,202.8687,988450.0,19.769
0.0,0.30000000000000004,0.09,0.98,0.9086349720868879,0.34298619416439385,16566.13064184059,16363.261941840592,202.8687,988450.0,19.769
0.0,0.35000000000000003,0.09,0.98,0.9086349720868879,0.34298619416439385,16566.13064184059,16363.261941840592,202.8687,988450.0,19.769
0.0,0.4,0.16,0.49,0.8687443056098473,0.5352670797663893,30067.533030075225,29793.243330075224,274.28970000000004,999650.0,19.993
0.0,0.45,0.16,0.49,0.8687443056098473,0.5352670797663893,30067.533030075225,29793.243330075224,274.28970000000004,999650.0,19.993
0.0,0.5,0.16,0.48,0.8687831753544126,0.5394732747668668,30367.355509246743,30093.755509246745,273.6,993600.0,19.872
0.0,0.55,0.16,0.48,0.8687831753544126,0.5394732747668668,30367.355509246743,30093.755509246745,273.6,993600.0,19.872
0.0,0.6000000000000001,0.16,0.48,0.8687831753544126,0.5394732747668668,30367.355509246743,30093.755509246745,273.6,993600.0,19.872
0.0,0.65,0.16,0.48,0.8687831753544126,0.5394732747668668,30367.355509246743,30093.755509246745,273.6,993600.0,19.872
0.0,0.7000000000000001,0.16,0.48,0.8687831753544126,0.5394732747668668,30367.355509246743,30093.755509246745,273.6,993600.0,19.872
0.0,0.75,0.16,0.48,0.8687831753544126,0.5394732747668668,30367.355509246743,30093.755509246745,273.6,993600.0,19.872
0.0,0.8,0.16,0.48,0.8687831753544126,0.5394732747668668,30367.355509246743,30093.755509246745,273.6,993600.0,19.872
0.0,0.8500000000000001,0.16,0.48,0.8687831753544126,0.5394732747668668,30367.355509246743,30093.755509246745,273.6,993600.0,19.872
0.0,0.9,0.16,0.48,0.8687831753544126,0.5394732747668668,30367.355509246743,30093.755509246745,273.6,993600.0,19.872
0.0,0.9500000000000001,0.16,0.48,0.8687831753544126,0.5394732747668668,30367.355509246743,30093.755509246745,273.6,993600.0,19.872
0.0,1.0,0.0,0.0,0.964722256120197,0.7774816693045735,47950.57495103296,47950.57495103296,0.0,0.0,0.0
0.05,0.0,0.08,1.0,0.9144985583202697,0.33596589594999465,16093.506354386198,15904.289154386199,189.2172,956600.0,19.132
0.05,0.05,0.08,1.0,0.9144985583202697,0.33596589594999465,16093.506354386198,15904.289154386199,189.2172,956600.0,19.132
