a,b,vac_1,vac_2,inf_1,inf_2,cli_burden,inf_burden,adv_burden,total_vacc,total_vacc_perc
0.0,0.0,1.0,1.0,0.30253390939192565,0.16685013832416118,5805.7983959784215,4233.738395978421,1572.0600000000002,5000000.0,100.0
0.0,0.05,1.0,1.0,0.30253390939192565,0.16685013832416118,5805.7983959784215,4233.738395978421,1572.0600000000002,5000000.0,100.0
0.0,0.1,1.0,1.0,0.30253390939192565,0.16685013832416118,5805.7983959784215,4233.738395978421,1572.0600000000002,5000000.0,100.0
0.0,0.15000000000000002,1.0,1.0,0.30253390939192565,0.16685013832416118,5805.7983959784215,4233.738395978421,1572.0600000000002,5000000.0,100.0
0.0,0.2,1.0,1.0,0.30253390939192565,0.16685013832416118,5805.7983959784215,4233.738395978421,1572.0600000000002,5000000.0,100.0
0.0,0.25,0.34,1.0,0.7569064023645868,0.3055577999217497,13416.052177563002,12836.031577563002,580.0206000000001,2099300.0,41.986
0.0,0.30000000000000004,0.34,1.0,0.7569064023645868,0.3055577999217497,13416.052177563002,12836.031577563002,580.0206000000001,2099300.0,41.986
0.0,0.35000000000000003,0.34,1.0,0.7569064023645868,0.3055577999217497,13416.052177563002,12836.031577563002,580.0206000000001,2099300.0,41.986
0.0,0.4,0.34,1.0,0.7569064023645868,0.3055577999217497,13416.052177563002,12836.031577563002,580.0206000000001,2099300.0,41.986
0.0,0.45,0.34,1.0,0.7569064023645868,0.3055577999217497,13416.052177563002,12836.031577563002,580.0206000000001,2099300.0,41.986
0.0,0.5,0.34,1.0,0.7569064023645868,0.3055577999217497,13416.052177563002,12836.031577563002,580.0206000000001,2099300.0,41.986
0.0,0.55,0.34,1.0,0.7569064023645868,0.3055577999217497,13416.052177563002,12836.031577563002,580.0206000000001,2099300.0,41.986
0.0,0.6000000000000001,0.34,1.0,0.7569064023645868,0.3055577999217497,13416.052177563002,12836.031577563002,580.0206000000001,2099300.0,41.986
0.0,0.65,0.34,1.0,0.7569064023645868,0.3055577999217497,13416.052177563002,12836.031577563002,580.0206000000001,2099300.0,41.986
0.0,0.7000000000000001,0.34,1.0,0.7569064023645868,0.3055577999217497,13416.052177563002,12836.031577563002,580.0206000000001,2099300.0,41.986
0.0,0.75,0.34,1.0,0.7569064023645868,0.3055577999217497,13416.052177563002,12836.031577563002,580.0206000000001,2099300.0,41.986
0.0,0.8,0.34,1.0,0.7569064023645868,0.3055577999217497,13416.052177563002,12836.031577563002,580.0206000000001,2099300.0,41.986
0.0,0.8500000000000001,0.32,0.96,0.7694996596431694,0.323231740699377,14687.685161373614,14140.485161373614,547.2,1987200.0,39.744
0.0,0.9,0.32,0.96,0.7694996596431694,0.323231740699377,14687.685161373614,14140.485161373614,547.2,1987200.0,39.744
0.0,0.9500000000000001,0.32,0.96,0.7694996596431694,0.323231740699377,14687.685161373614,14140.485161373614,547.2,1987200.0,39.744
0.0,1.0,0.0,0.0,0.9647222561201969,0.7774816693045723,47950.574951032904,47950.574951032904,0.0,0.0,0.0
0.05,0.0,1.0,1.0,0.30253390939192565,0.16685013832416118,5805.7983959784215,4233.738395978421,1572.0600000000002,5000000.0,100.0
0.05,0.05,1.0,1.0,0.30253390939192565,0.16685013832416118,5805.7983959784215,4233.738395978421,1572.0600000000002,5000000.0,100.0
0.05,0.1,1.0,1.0,0.30253390939192565,0.16685013832416118,5805.7983959784215,4233.738395978421,1572.0600000000002,5000000.0,100.0
0.05,0.15000000000000002,1.0,1.0,0.30253390939192565,0.16685013832416118,5805.7983959784215,4233.738395978421,1572.0600000000002,5000000.0,100.0
0.05,0.2,1.0,1.0,0.30253390939192565,0.16685013832416118,5805.7983959784215,4233.738395978421,1572.0600000000002,5000000.0,100.0
0.05,0.25,0.34,1.0,0.7569064023645868,0.3055577999217497,13416.052177563002,12836.031577563002,580.0206000000001,2099300.0,41.986
0.05,0.30000000000000004,0.34,1.0,0.7569064023645868,0.3055577999217497,13416.052177563002,12836.031577563002,580.0206000000001,2099300.0,41.986
0.05,0.35000000000000003,0.34,1.0,0.7569064023645868,0.3055577999217497,13416.052177563002,12836.031577563002,580.0206000000001,2099300.0,41.986
0.05,0.4,0.34,1.0,0.7569064023645868,0.3055577999217497,13416.052177563002,12836.031577563002,580.0206000000001,2099300.0,41.986
0.05,0.45,0.34,1.0,0.7569064023645868,0.3055577999217497,13416.052177563002,12836.031577563002,580.0206000000001,2099300.0,41.986
0.05,0.5,0.34,1.0,0.7569064023645868,0.3055577999217497,13416.052177563002,12836.031577563002,580.0206000000001,2099300.0,41.986
0.05,0.55,0.34,1.0,0.7569064023645868,0.3055577999217497,13416.052177563002,12836.031577563002,580.0206000000001,2099300.0,41.986
