a,b,vac_1,vac_2,inf_1,inf_2,cli_burden,inf_burden,adv_burden,total_vacc,total_vacc_perc
0.0,0.0,0.42,1.0,0.003957037767993105,0.0009417290522807931,754.0849467266248,53.81714672662474,700.2678000000001,2450900.0,49.018
0.0,0.05,0.4,1.0,0.007578633590778682,0.0017787995721775887,773.5972380619388,103.39123806193875,670.206,2363000.0,47.26
0.0,0.1,0.4,1.0,0.007578633590778682,0.0017787995721775887,773.5972380619388,103.39123806193875,670.206,2363000.0,47.26
0.0,0.15000000000000002,0.38,1.0,0.014436958089602917,0.0033482227673188353,837.8334972962698,197.68929729626979,640.1442000000001,2275100.0,45.502
0.0,0.2,0.38,1.0,0.014436958089602917,0.0033482227673188353,837.8334972962698,197.68929729626979,640.1442000000001,2275100.0,45.502
0.0,0.25,0.38,1.0,0.014436958089602917,0.0033482227673188353,837.8334972962698,197.68929729626979,640.1442000000001,2275100.0,45.502
0.0,0.30000000000000004,0.36,1.0,0.02703966806095665,0.006213131736898025,981.9997674038682,371.9173674038682,610.0824,2187200.0,43.744
0.0,0.35000000000000003,0.36,1.0,0.02703966806095665,0.006213131736898025,981.9997674038682,371.9173674038682,610.0824,2187200.0,43.744
0.0,0.4,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.0,0.45,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.0,0.5,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.0,0.55,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.0,0.6000000000000001,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.0,0.65,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.0,0.7000000000000001,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.0,0.75,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.0,0.8,0.32,0.96,0.08542677274098823,0.02048896282707554,1804.2740221715787,1257.0740221715787,547.2,1987200.0,39.744
0.0,0.8500000000000001,0.32,0.96,0.08542677274098823,0.02048896282707554,1804.2740221715787,1257.0740221715787,547.2,1987200.0,39.744
0.0,0.9,0.32,0.96,0.08542677274098823,0.02048896282707554,1804.2740221715787,1257.0740221715787,547.2,1987200.0,39.744
0.0,0.9500000000000001,0.32,0.96,0.08542677274098823,0.02048896282707554,1804.2740221715787,1257.0740221715787,547.2,1987200.0,39.744
0.0,1.0,0.0,0.0,0.5884553174919667,0.3127856107779117,21514.603376354946,21514.603376354946,0.0,0.0,0.0
0.05,0.0,0.42,1.0,0.003957037767993105,0.0009417290522807931,754.0849467266248,53.81714672662474,700.2678000000001,2450900.0,49.018
0.05,0.05,0.4,1.0,0.007578633590778682,0.0017787995721775887,773.5972380619388,103.39123806193875,670.206,2363000.0,47.26
0.05,0.1,0.4,1.0,0.007578633590778682,0.0017787995721775887,773.5972380619388,103.39123806193875,670.206,2363000.0,47.26
0.05,0.15000000000000002,0.38,1.0,0.014436958089602917,0.0033482227673188353,837.8334972962698,197.68929729626979,640.1442000000001,2275100.0,45.502
0.05,0.2,0.38,1.0,0.014436958089602917,0.0033482227673188353,837.8334972962698,197.68929729626979,640.1442000000001,2275100.0,45.502
0.05,0.25,0.36,1.0,0.02703966806095665,0.006213131736898025,981.9997674038682,371.9173674038682,610.0824,2187200.0,43.744
0.05,0.30000000000000004,0.36,1.0,0.02703966806095665,0.006213131736898025,981.9997674038682,371.9173674038682,610.0824,2187200.0,43.744
0.05,0.35000000000000003,0.36,1.0,0.02703966806095665,0.006213131736898025,981.9997674038682,371.9173674038682,610.0824,2187200.0,43.744
0.05,0.4,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.05,0.45,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.05,0.5,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.05,0.55,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.05,0.6000000000000001,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.05,0.65,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.05,0.7000000000000001,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.05,0.75,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.05,0.8,0.32,0.96,0.08542677274098823,0.02048896282707554,1804.2740221715787,1257.0740221715787,547.2,1987200.0,39.744
0.05,0.8500000000000001,0.32,0.96,0.08542677274098823,0.02048896282707554,1804.2740221715787,1257.0740221715787,547.2,1987200.0,39.744
0.05,0.9,0.32,0.96,0.08542677274098823,0.02048896282707554,1804.2740221715787,1257.0740221715787,547.2,1987200.0,39.744
0.05,0.9500000000000001,0.32,0.96,0.08542677274098823,0.02048896282707554,1804.2740221715787,1257.0740221715787,547.2,1987200.0,39.744
0.1,0.0,0.42,1.0,0.003957037767993105,0.0009417290522807931,754.0849467266248,53.81714672662474,700.2678000000001,2450900.0,49.018
0.1,0.05,0.4,1.0,0.007578633590778682,0.0017787995721775887,773.5972380619388,103.39123806193875,670.206,2363000.0,47.26
0.1,0.1,0.4,1.0,0.007578633590778682,0.0017787995721775887,773.5972380619388,103.39123806193875,670.206,2363000.0,47.26
0.1,0.15000000000000002,0.38,1.0,0.014436958089602917,0.0033482227673188353,837.8334972962698,197.68929729626979,640.1442000000001,2275100.0,45.502
0.1,0.2,0.38,1.0,0.014436958089602917,0.0033482227673188353,837.8334972962698,197.68929729626979,640.1442000000001,2275100.0,45.502
0.1,0.25,0.36,1.0,0.02703966806095665,0.006213131736898025,981.9997674038682,371.9173674038682,610.0824,2187200.0,43.744
0.1,0.30000000000000004,0.36,1.0,0.02703966806095665,0.006213131736898025,981.9997674038682,371.9173674038682,610.0824,2187200.0,43.744
0.1,0.35000000000000003,0.36,1.0,0.02703966806095665,0.006213131736898025,981.9997674038682,371.9173674038682,610.0824,2187200.0,43.744
0.1,0.4,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.1,0.45,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.1,0.5,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.1,0.55,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.1,0.6000000000000001,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.1,0.65,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.1,0.7000000000000001,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.1,0.75,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.1,0.8,0.32,0.96,0.08542677274098823,0.02048896282707554,1804.2740221715787,1257.0740221715787,547.2,1987200.0,39.744
0.1,0.8500000000000001,0.32,0.96,0.08542677274098823,0.02048896282707554,1804.2740221715787,1257.0740221715787,547.2,1987200.0,39.744
0.1,0.9,0.32,0.96,0.08542677274098823,0.02048896282707554,1804.2740221715787,1257.0740221715787,547.2,1987200.0,39.744
0.15000000000000002,0.0,0.42,1.0,0.003957037767993105,0.0009417290522807931,754.0849467266248,53.81714672662474,700.2678000000001,2450900.0,49.018
0.15000000000000002,0.05,0.4,1.0,0.007578633590778682,0.0017787995721775887,773.5972380619388,103.39123806193875,670.206,2363000.0,47.26
0.15000000000000002,0.1,0.4,1.0,0.007578633590778682,0.0017787995721775887,773.5972380619388,103.39123806193875,670.206,2363000.0,47.26
0.15000000000000002,0.15000000000000002,0.38,1.0,0.014436958089602917,0.0033482227673188353,837.8334972962698,197.68929729626979,640.1442000000001,2275100.0,45.502
0.15000000000000002,0.2,0.38,1.0,0.014436958089602917,0.0033482227673188353,837.8334972962698,197.68929729626979,640.1442000000001,2275100.0,45.502
0.15000000000000002,0.25,0.36,1.0,0.02703966806095665,0.006213131736898025,981.9997674038682,371.9173674038682,610.0824,2187200.0,43.744
0.15000000000000002,0.30000000000000004,0.36,1.0,0.02703966806095665,0.006213131736898025,981.9997674038682,371.9173674038682,610.0824,2187200.0,43.744
0.15000000000000002,0.35000000000000003,0.36,1.0,0.02703966806095665,0.006213131736898025,981.9997674038682,371.9173674038682,610.0824,2187200.0,43.744
0.15000000000000002,0.4,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.15000000000000002,0.45,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.15000000000000002,0.5,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.15000000000000002,0.55,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.15000000000000002,0.6000000000000001,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.15000000000000002,0.65,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.15000000000000002,0.7000000000000001,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.15000000000000002,0.75,0.32,0.96,0.08542677274098823,0.02048896282707554,1804.2740221715787,1257.0740221715787,547.2,1987200.0,39.744
0.15000000000000002,0.8,0.32,0.96,0.08542677274098823,0.02048896282707554,1804.2740221715787,1257.0740221715787,547.2,1987200.0,39.744
0.15000000000000002,0.8500000000000001,0.32,0.96,0.08542677274098823,0.02048896282707554,1804.2740221715787,1257.0740221715787,547.2,1987200.0,39.744
0.2,0.0,0.42,1.0,0.003957037767993105,0.0009417290522807931,754.0849467266248,53.81714672662474,700.2678000000001,2450900.0,49.018
0.2,0.05,0.4,1.0,0.007578633590778682,0.0017787995721775887,773.5972380619388,103.39123806193875,670.206,2363000.0,47.26
0.2,0.1,0.4,1.0,0.007578633590778682,0.0017787995721775887,773.5972380619388,103.39123806193875,670.206,2363000.0,47.26
0.2,0.15000000000000002,0.38,1.0,0.014436958089602917,0.0033482227673188353,837.8334972962698,197.68929729626979,640.1442000000001,2275100.0,45.502
0.2,0.2,0.38,1.0,0.014436958089602917,0.0033482227673188353,837.8334972962698,197.68929729626979,640.1442000000001,2275100.0,45.502
0.2,0.25,0.36,1.0,0.02703966806095665,0.006213131736898025,981.9997674038682,371.9173674038682,610.0824,2187200.0,43.744
0.2,0.30000000000000004,0.36,1.0,0.02703966806095665,0.006213131736898025,981.9997674038682,371.9173674038682,610.0824,2187200.0,43.744
0.2,0.35000000000000003,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.2,0.4,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.2,0.45,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.2,0.5,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.2,0.55,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
0.2,0.6000000000000001,0.34,1.0,0.04893942830745019,0.011186345316937315,1256.8861143301333,676.8655143301332,580.0206000000001,2099300.0,41.986
