,a,b,total_infections_1,total_infections_2,total_vaccinated_1,total_vaccinated_2,loss_clinical_burden,loss_equity_of_burden,loss_equity_of_vaccination
0,0.1,0.1,22.66728993461146,1.0000000000000568,464.4140624999979,99.0,13.879975830978562,0.0052076661957055626,0.09078749999998847
1,0.1,0.125,22.793795766086987,1.000000000000071,464.09093141555604,99.0,13.880000793587707,0.0067636879228505364,0.08923647079466823
2,0.1,0.15,22.91244997750516,1.0000000000000568,463.7899184972029,99.0,13.880073717549447,0.00822313472329797,0.08779160878657244
3,0.1,0.175,23.02580147735017,1.0000000000000568,463.50419819354823,99.0,13.880187547502203,0.009617358171391616,0.0864201513290308
4,0.1,0.19999999999999998,23.16406974316726,1.0000000000000284,463.1580725312214,99.0,13.880384029954104,0.011318057840949552,0.08475874814986306
5,0.1,0.22499999999999998,23.310432327629712,1.0,462.7945178747158,99.0,13.880660017142405,0.0131183176298455,0.08301368579863477
6,0.1,0.24999999999999997,23.482220381037735,1.0000000000000142,462.37146377563283,99.0,13.881071684049012,0.015231310686760285,0.0809830261230371
7,0.1,0.27499999999999997,23.631051829182923,1.0,462.0080817863325,98.99999999999999,13.88150365036673,0.01706193749895002,0.07923879257439537
8,0.1,0.29999999999999993,23.833388116626793,1.0000000000000284,461.5186493843774,99.0,13.88220095439761,0.019550673834501764,0.07688951704501146
9,0.1,0.32499999999999996,24.03555293035788,1.0000000000000142,461.0348055325413,98.99999999999999,13.883021837998005,0.02203730104339796,0.07456706655619705
10,0.1,0.35,24.250847750619698,1.0000000000000426,460.5250999890231,98.99999999999999,13.884029536399671,0.024685427332610588,0.07212047994731008
11,0.1,0.37499999999999994,24.47078279364365,1.0000000000000142,460.0102021246337,98.99999999999997,13.885197992800295,0.02739062836181294,0.06964897019824323
12,0.1,0.3999999999999999,24.730131030081225,1.0000000000000426,459.41037610173044,99.0,13.886752084791533,0.030580611669987323,0.06676980528830634
13,0.1,0.42499999999999993,25.01576030056691,1.0000000000000568,458.75872436910714,99.0,13.888678643343447,0.03409385169695742,0.06364187697171331
14,0.1,0.44999999999999996,25.329886624752532,1.000000000000071,458.0525875836596,99.0,13.891050129430122,0.0379576054844368,0.06025242040156553
15,0.1,0.4749999999999999,25.679816272255835,1.0000000000000568,457.2785475756958,99.0,13.893993842560441,0.04226174014873141,0.056537028363338626
16,0.1,0.4999999999999999,26.09015892632533,1.0000000000000568,456.3871768489462,99.0,13.897837018343726,0.047308954793785996,0.05225844887494158
17,0.1,0.5249999999999999,26.510777117282487,0.9999999999999858,455.49106087535404,99.0,13.902198253721368,0.05248255854257844,0.047957092201699414
18,0.1,0.5499999999999999,27.019498565555068,1.0000000000000426,454.43002257495834,99.0,13.908019703580644,0.058739832356315635,0.042864108359798925
19,0.1,0.575,27.61643019308076,1.0000000000000568,453.21532194502373,98.99999999999997,13.915578183555045,0.06608209137487797,0.03703354533611325
20,0.1,0.5999999999999999,28.262145478094112,0.9999999999999716,451.9362900825177,98.99999999999997,13.92459290888321,0.07402438938056533,0.030894192396084375
21,0.1,0.6249999999999999,29.077107237497955,0.9999999999999858,450.37076127016235,98.99999999999997,13.937140365590018,0.08404841902122867,0.023379654096779445
22,0.1,0.6499999999999999,30.01383846737764,1.0000000000000853,448.63400258647533,99.0,13.953067127819146,0.09557021314872172,0.015043212415080776
23,0.1,0.6749999999999998,31.144237515141754,1.0000000000000853,446.62052258848774,99.0,13.974263149304935,0.10947412143622029,0.005378508424741302
24,0.1,0.6999999999999998,31.77044845742489,1.0000000000000995,445.5411336198431,99.0,13.98686978700788,0.11717651602629908,0.0001974413752463544
25,0.1,0.7249999999999999,31.785263563722253,1.0000000000001137,445.5158936977366,99.0,13.987175157914614,0.11735874183375236,7.62897491353165e-05
26,0.1,0.7499999999999999,31.797278739065746,1.0000000000000284,445.4954338073723,98.99999999999997,13.987423053829485,0.11750652849050089,2.191772461279662e-05
27,0.1,0.7749999999999999,31.7875694619388,1.0000000000000853,445.51196644082574,99.0,13.987222716489068,0.11738710438182401,5.7438915963548e-05
28,0.1,0.7999999999999998,31.79148856042508,1.0000000000000568,445.50529243424427,98.99999999999999,13.987303564888014,0.11743530929321291,2.5403684372538038e-05
29,0.1,0.8249999999999998,31.783959660024152,0.9999999999999858,445.51811456680304,98.99999999999999,13.987148268694757,0.11734270381830111,8.694992065416685e-05
30,0.1,0.8499999999999999,31.981122549795145,1.0146934451722984,445.3599813563051,98.96558354396254,13.997298995557465,0.1157476807633396,7.130596067383976e-05
31,0.1,0.8749999999999998,31.773848933412353,1.0000000000000995,445.5353391682728,99.0,13.986939849443422,0.11721834188094474,0.0001696280077088108
32,0.125,0.1,22.560012578599355,1.0000000000000426,464.68988098902616,99.0,13.879997917320493,0.0038881547167603503,0.09211142874732459
33,0.125,0.125,22.682936192647162,1.0000000000000426,464.37397353351105,99.0,13.879975940652072,0.005400115169548442,0.09059507296085267
34,0.125,0.15,22.78282113275702,1.0000000000000568,464.1188733279705,99.0,13.879996459535858,0.006628699932895776,0.0893705919742569
35,0.125,0.175,22.91555344577222,1.000000000000071,463.7820718833245,99.0,13.88007626211479,0.00826130738297881,0.08775394503995737
36,0.125,0.19999999999999998,23.069136143321884,1.0000000000000426,463.39543662965286,99.0,13.88024235192597,0.010150374562847453,0.08589809582233388
37,0.125,0.22499999999999998,23.197714768283447,1.0000000000000284,463.0742442794144,99.0,13.880441320955383,0.01173189164987859,0.08435637254118844
