,a,b,total_infections_1,total_infections_2,total_vaccinated_1,total_vaccinated_2,loss_clinical_burden,loss_equity_of_burden,loss_equity_of_vaccination
0,0.1,0.1,120.81559428654693,44.48016874594595,678.0,109.0,22.66435024916244,1.4985879224685887,1.2516
1,0.1,0.2,133.3766372030281,45.73820945220218,652.0,109.0,22.715733359033365,1.4169314038698166,1.1143199999999995
2,0.1,0.30000000000000004,136.16080420690685,45.989552237141865,646.0,109.0,22.728953022692956,1.3957145140234974,1.082639999999999
3,0.1,0.4,152.5430113888691,47.29527030712053,614.0,109.0,22.87562186017862,1.263951571099518,0.9136799999999996
4,0.1,0.5,161.6245708134406,47.90750765623308,597.0,109.0,22.986292477806273,1.182415062194221,0.8239200000000007
5,0.1,0.6000000000000001,207.53226400441804,50.1161268923749,518.0,109.0,23.814524236011863,0.7005826187517357,0.4068000000000003
6,0.1,0.7000000000000001,257.3498665218207,51.43641414052168,441.0,109.0,25.102158033185987,0.08098246497483719,0.0002400000000006841
7,0.1,0.8,257.3498665218207,51.43641414052168,441.0,109.0,25.102158033185987,0.08098246497483719,0.0002400000000006841
8,0.2,0.1,127.90587504520762,45.21629247671159,663.0,109.0,22.685325950806916,1.4539350505835356,1.1723999999999983
9,0.2,0.2,136.16080420690685,45.989552237141865,646.0,109.0,22.728953022692956,1.3957145140234974,1.082639999999999
10,0.2,0.30000000000000004,143.74277345528094,46.62884931414228,631.0,109.0,22.788316272282234,1.3374652036102788,1.003439999999999
11,0.2,0.4,161.6245708134406,47.90750765623308,597.0,109.0,22.986292477806273,1.182415062194221,0.8239200000000007
12,0.2,0.5,207.53226400441804,50.1161268923749,518.0,109.0,23.814524236011863,0.7005826187517357,0.4068000000000003
13,0.2,0.6000000000000001,256.08345055770695,51.41192684262402,443.0,109.0,25.065885048762773,0.09821979729978825,0.010799999999999699
14,0.2,0.7000000000000001,259.8897406473341,51.484391428725665,437.0,108.0,25.285278541612257,0.2629784481289772,0.00047999999999959186
15,0.30000000000000004,0.1,136.16080420690685,45.989552237141865,646.0,109.0,22.728953022692956,1.3957145140234974,1.082639999999999
16,0.30000000000000004,0.2,143.74277345528094,46.62884931414228,631.0,109.0,22.788316272282234,1.3374652036102788,1.003439999999999
17,0.30000000000000004,0.30000000000000004,161.6245708134406,47.90750765623308,597.0,109.0,22.986292477806273,1.182415062194221,0.8239200000000007
18,0.30000000000000004,0.4,207.53226400441804,50.1161268923749,518.0,109.0,23.814524236011863,0.7005826187517357,0.4068000000000003
19,0.30000000000000004,0.5,256.08345055770695,51.41192684262402,443.0,109.0,25.065885048762773,0.09821979729978825,0.010799999999999699
20,0.30000000000000004,0.6000000000000001,257.3498665218207,51.43641414052168,441.0,109.0,25.102158033185987,0.08098246497483719,0.0002400000000006841
21,0.4,0.1,143.74277345528094,46.62884931414228,631.0,109.0,22.788316272282234,1.3374652036102788,1.003439999999999
22,0.4,0.2,161.6245708134406,47.90750765623308,597.0,109.0,22.986292477806273,1.182415062194221,0.8239200000000007
23,0.4,0.30000000000000004,218.07615537348917,50.46718052907617,501.0,109.0,24.056989150132637,0.5761563911176721,0.3170399999999993
24,0.4,0.4,257.3498665218207,51.43641414052168,441.0,109.0,25.102158033185987,0.08098246497483719,0.0002400000000006841
25,0.4,0.5,257.3498665218207,51.43641414052168,441.0,109.0,25.102158033185987,0.08098246497483719,0.0002400000000006841
26,0.5,0.1,161.6245708134406,47.90750765623308,597.0,109.0,22.986292477806273,1.182415062194221,0.8239200000000007
27,0.5,0.2,238.6095129517585,51.03203899610958,469.0,109.0,24.577186055789404,0.32280354231936026,0.14808
28,0.5,0.30000000000000004,257.3498665218207,51.43641414052168,441.0,109.0,25.102158033185987,0.08098246497483719,0.0002400000000006841
29,0.5,0.4,279.22565527809735,51.804502525505185,409.0,108.0,25.877016240163165,0.0035299852401460274,0.1473599999999995
30,0.6000000000000001,0.1,257.3498665218207,51.43641414052168,441.0,109.0,25.102158033185987,0.08098246497483719,0.0002400000000006841
31,0.6000000000000001,0.2,259.88974064213807,51.48439142819017,437.0,109.0,25.175533489722984,0.04627225624066189,0.020880000000000898
32,0.6000000000000001,0.30000000000000004,533.162513756063,61.94630951332273,85.0,92.0,38.556941000763075,0.015343944973722934,1.5163200000000003
33,0.7000000000000001,0.1,520.6871103427686,60.937523426191504,100.0,93.0,37.806515805306795,0.042615664150418286,1.4584800000000004
34,0.7000000000000001,0.2,534.5564414828569,61.947232042876266,84.0,92.0,38.61689081202105,0.003011454652019019,1.5216000000000003
35,0.8,0.1,534.5564414828569,61.947232042876266,84.0,92.0,38.61689081202105,0.003011454652019019,1.5216000000000003
