a,b,vac_1,vac_2,inf_1,inf_2,cli_burden,inf_burden,adv_burden,total_vacc,total_vacc_perc
0.0,0.0,0.08,1.0,0.9563236337932706,0.4689999992976276,18923.27466241965,18734.057462419652,189.2172,956600.0,19.132
0.0,0.05,0.08,1.0,0.9563236337932706,0.4689999992976276,18923.27466241965,18734.057462419652,189.2172,956600.0,19.132
0.0,0.1,0.08,1.0,0.9563236337932706,0.4689999992976276,18923.27466241965,18734.057462419652,189.2172,956600.0,19.132
0.0,0.15000000000000002,0.08,1.0,0.9563236337932706,0.4689999992976276,18923.27466241965,18734.057462419652,189.2172,956600.0,19.132
0.0,0.2,0.08,1.0,0.9563236337932706,0.4689999992976276,18923.27466241965,18734.057462419652,189.2172,956600.0,19.132
0.0,0.25,0.08,1.0,0.9563236337932706,0.4689999992976276,18923.27466241965,18734.057462419652,189.2172,956600.0,19.132
0.0,0.30000000000000004,0.09,0.98,0.9509805070919918,0.47962148686113715,19635.4836165144,19432.6149165144,202.8687,988450.0,19.769
0.0,0.35000000000000003,0.09,0.98,0.9509805070919918,0.47962148686113715,19635.4836165144,19432.6149165144,202.8687,988450.0,19.769
0.0,0.4,0.1,0.92,0.9456460582434051,0.5114809910172712,21925.846609463082,21712.085209463083,213.7614,996100.0,19.922
0.0,0.45,0.16,0.49,0.913647090482315,0.7398115697854408,38429.88932567473,38155.59962567473,274.28970000000004,999650.0,19.993
0.0,0.5,0.16,0.48,0.9136496707277357,0.7451206607060832,38824.42394592652,38550.823945926524,273.6,993600.0,19.872
0.0,0.55,0.16,0.48,0.9136496707277357,0.7451206607060832,38824.42394592652,38550.823945926524,273.6,993600.0,19.872
0.0,0.6000000000000001,0.16,0.48,0.9136496707277357,0.7451206607060832,38824.42394592652,38550.823945926524,273.6,993600.0,19.872
0.0,0.65,0.16,0.48,0.9136496707277357,0.7451206607060832,38824.42394592652,38550.823945926524,273.6,993600.0,19.872
