a,b,vac_1,vac_2,inf_1,inf_2,cli_burden,inf_burden,adv_burden,total_vacc,total_vacc_perc
0.15000000000000002,0.1,1.0,1.0,0.4383990516009957,0.4689614928788232,11766.134190780424,10194.074190780424,1572.0600000000002,5000000.0,100.0
0.15000000000000002,0.15000000000000002,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.15000000000000002,0.2,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.15000000000000002,0.25,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.15000000000000002,0.30000000000000004,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.15000000000000002,0.35000000000000003,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.15000000000000002,0.4,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.15000000000000002,0.45,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.15000000000000002,0.5,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.15000000000000002,0.55,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.15000000000000002,0.6000000000000001,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.15000000000000002,0.65,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.15000000000000002,0.7000000000000001,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.15000000000000002,0.75,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.15000000000000002,0.8,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.15000000000000002,0.8500000000000001,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.2,0.0,1.0,1.0,0.4383990516009957,0.4689614928788232,11766.134190780424,10194.074190780424,1572.0600000000002,5000000.0,100.0
0.2,0.05,1.0,1.0,0.4383990516009957,0.4689614928788232,11766.134190780424,10194.074190780424,1572.0600000000002,5000000.0,100.0
0.2,0.1,1.0,1.0,0.4383990516009957,0.4689614928788232,11766.134190780424,10194.074190780424,1572.0600000000002,5000000.0,100.0
0.2,0.15000000000000002,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.2,0.2,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.2,0.25,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.2,0.30000000000000004,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.2,0.35000000000000003,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.2,0.4,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.2,0.45,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.2,0.5,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.2,0.55,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.2,0.6000000000000001,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.2,0.65,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.2,0.7000000000000001,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.2,0.75,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.2,0.8,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.25,0.0,1.0,1.0,0.4383990516009957,0.4689614928788232,11766.134190780424,10194.074190780424,1572.0600000000002,5000000.0,100.0
0.25,0.05,1.0,1.0,0.4383990516009957,0.4689614928788232,11766.134190780424,10194.074190780424,1572.0600000000002,5000000.0,100.0
0.25,0.1,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
0.25,0.15000000000000002,0.34,1.0,0.8136300932222181,0.46899989775198,16889.079214001627,16309.058614001626,580.0206000000001,2099300.0,41.986
